path:ko00010	Glycolysis / Gluconeogenesis
path:ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
path:ko00965	Betalain biosynthesis
path:ko00966	Glucosinolate biosynthesis
path:ko00970	Aminoacyl-tRNA biosynthesis
path:ko00980	Metabolism of xenobiotics by cytochrome P450
path:ko00981	Insect hormone biosynthesis
path:ko00982	Drug metabolism - cytochrome P450
path:ko00983	Drug metabolism - other enzymes
path:ko00984	Steroid degradation
path:ko00997	Biosynthesis of various secondary metabolites - part 3
path:ko00998	Biosynthesis of various secondary metabolites - part 2
path:ko00999	Biosynthesis of various secondary metabolites - part 1
path:ko01040	Biosynthesis of unsaturated fatty acids
path:ko01051	Biosynthesis of ansamycins
path:ko01052	Type I polyketide structures
path:ko01053	Biosynthesis of siderophore group nonribosomal peptides
path:ko01054	Nonribosomal peptide structures
path:ko01055	Biosynthesis of vancomycin group antibiotics
path:ko01056	Biosynthesis of type II polyketide backbone
path:ko01057	Biosynthesis of type II polyketide products
path:ko01058	Acridone alkaloid biosynthesis
path:ko01059	Biosynthesis of enediyne antibiotics
path:ko01100	Metabolic pathways
path:ko01110	Biosynthesis of secondary metabolites
path:ko01120	Microbial metabolism in diverse environments
path:ko01200	Carbon metabolism
path:ko01210	2-Oxocarboxylic acid metabolism
path:ko01212	Fatty acid metabolism
path:ko01220	Degradation of aromatic compounds
path:ko01230	Biosynthesis of amino acids
path:ko01240	Biosynthesis of cofactors
path:ko01501	beta-Lactam resistance
path:ko01502	Vancomycin resistance
path:ko01503	Cationic antimicrobial peptide (CAMP) resistance
path:ko01521	EGFR tyrosine kinase inhibitor resistance
path:ko01522	Endocrine resistance
path:ko01523	Antifolate resistance
path:ko01524	Platinum drug resistance
path:ko02010	ABC transporters
path:ko02020	Two-component system
path:ko02024	Quorum sensing
path:ko02025	Biofilm formation - Pseudomonas aeruginosa
path:ko02026	Biofilm formation - Escherichia coli
path:ko02030	Bacterial chemotaxis
path:ko02040	Flagellar assembly
path:ko02060	Phosphotransferase system (PTS)
path:ko03008	Ribosome biogenesis in eukaryotes
path:ko03010	Ribosome
path:ko03013	RNA transport
path:ko03015	mRNA surveillance pathway
path:ko03018	RNA degradation
path:ko03020	RNA polymerase
path:ko03022	Basal transcription factors
path:ko03030	DNA replication
path:ko03040	Spliceosome
path:ko03050	Proteasome
path:ko03060	Protein export
path:ko03070	Bacterial secretion system
path:ko03320	PPAR signaling pathway
path:ko03410	Base excision repair
path:ko03420	Nucleotide excision repair
path:ko03430	Mismatch repair
path:ko03440	Homologous recombination
path:ko03450	Non-homologous end-joining
path:ko03460	Fanconi anemia pathway
path:ko04010	MAPK signaling pathway
path:ko04011	MAPK signaling pathway - yeast
path:ko04012	ErbB signaling pathway
path:ko04013	MAPK signaling pathway - fly
path:ko04014	Ras signaling pathway
path:ko04015	Rap1 signaling pathway
path:ko04016	MAPK signaling pathway - plant
path:ko04020	Calcium signaling pathway
path:ko04022	cGMP-PKG signaling pathway
path:ko04024	cAMP signaling pathway
path:ko04060	Cytokine-cytokine receptor interaction
path:ko04061	Viral protein interaction with cytokine and cytokine receptor
path:ko04062	Chemokine signaling pathway
path:ko04064	NF-kappa B signaling pathway
path:ko04066	HIF-1 signaling pathway
path:ko04068	FoxO signaling pathway
path:ko04070	Phosphatidylinositol signaling system
path:ko04071	Sphingolipid signaling pathway
path:ko04072	Phospholipase D signaling pathway
path:ko04075	Plant hormone signal transduction
path:ko04080	Neuroactive ligand-receptor interaction
path:ko04110	Cell cycle
path:ko04111	Cell cycle - yeast
path:ko04112	Cell cycle - Caulobacter
path:ko04113	Meiosis - yeast
path:ko04114	Oocyte meiosis
path:ko04115	p53 signaling pathway
path:ko04120	Ubiquitin mediated proteolysis
path:ko04122	Sulfur relay system
path:ko04130	SNARE interactions in vesicular transport
path:ko04136	Autophagy - other
path:ko04137	Mitophagy - animal
path:ko04138	Autophagy - yeast
path:ko04139	Mitophagy - yeast
path:ko04140	Autophagy - animal
path:ko04141	Protein processing in endoplasmic reticulum
path:ko04142	Lysosome
path:ko04144	Endocytosis
path:ko04145	Phagosome
path:ko04146	Peroxisome
path:ko04150	mTOR signaling pathway
path:ko04151	PI3K-Akt signaling pathway
path:ko04152	AMPK signaling pathway
path:ko04210	Apoptosis
path:ko04211	Longevity regulating pathway
path:ko04212	Longevity regulating pathway - worm
path:ko04213	Longevity regulating pathway - multiple species
path:ko04214	Apoptosis - fly
path:ko04215	Apoptosis - multiple species
path:ko04216	Ferroptosis
path:ko04217	Necroptosis
path:ko04218	Cellular senescence
path:ko04260	Cardiac muscle contraction
path:ko04261	Adrenergic signaling in cardiomyocytes
path:ko04270	Vascular smooth muscle contraction
path:ko04310	Wnt signaling pathway
path:ko04320	Dorso-ventral axis formation
path:ko04330	Notch signaling pathway
path:ko04340	Hedgehog signaling pathway
path:ko04341	Hedgehog signaling pathway - fly
path:ko04350	TGF-beta signaling pathway
path:ko04360	Axon guidance
path:ko04361	Axon regeneration
path:ko04370	VEGF signaling pathway
path:ko04371	Apelin signaling pathway
path:ko04380	Osteoclast differentiation
path:ko04390	Hippo signaling pathway
path:ko04391	Hippo signaling pathway - fly
path:ko04392	Hippo signaling pathway - multiple species
path:ko04510	Focal adhesion
path:ko04512	ECM-receptor interaction
path:ko04514	Cell adhesion molecules
path:ko04520	Adherens junction
path:ko04530	Tight junction
path:ko04540	Gap junction
path:ko04550	Signaling pathways regulating pluripotency of stem cells
path:ko04610	Complement and coagulation cascades
path:ko04611	Platelet activation
path:ko04612	Antigen processing and presentation
path:ko04613	Neutrophil extracellular trap formation
path:ko04614	Renin-angiotensin system
path:ko04620	Toll-like receptor signaling pathway
path:ko04621	NOD-like receptor signaling pathway
path:ko04622	RIG-I-like receptor signaling pathway
path:ko04623	Cytosolic DNA-sensing pathway
path:ko04624	Toll and Imd signaling pathway
path:ko04625	C-type lectin receptor signaling pathway
path:ko04626	Plant-pathogen interaction
path:ko04630	JAK-STAT signaling pathway
path:ko04640	Hematopoietic cell lineage
path:ko04650	Natural killer cell mediated cytotoxicity
path:ko04657	IL-17 signaling pathway
path:ko04658	Th1 and Th2 cell differentiation
path:ko04659	Th17 cell differentiation
path:ko04660	T cell receptor signaling pathway
path:ko04662	B cell receptor signaling pathway
path:ko04664	Fc epsilon RI signaling pathway
path:ko04666	Fc gamma R-mediated phagocytosis
path:ko04668	TNF signaling pathway
path:ko04670	Leukocyte transendothelial migration
path:ko04672	Intestinal immune network for IgA production
path:ko04710	Circadian rhythm
path:ko04711	Circadian rhythm - fly
path:ko04712	Circadian rhythm - plant
path:ko04713	Circadian entrainment
path:ko04714	Thermogenesis
path:ko04720	Long-term potentiation
path:ko04721	Synaptic vesicle cycle
path:ko04722	Neurotrophin signaling pathway
path:ko04723	Retrograde endocannabinoid signaling
path:ko04724	Glutamatergic synapse
path:ko04725	Cholinergic synapse
path:ko04726	Serotonergic synapse
path:ko04727	GABAergic synapse
path:ko04728	Dopaminergic synapse
path:ko04730	Long-term depression
path:ko04740	Olfactory transduction
path:ko04742	Taste transduction
path:ko04744	Phototransduction
path:ko04745	Phototransduction - fly
path:ko04750	Inflammatory mediator regulation of TRP channels
path:ko04810	Regulation of actin cytoskeleton
path:ko04910	Insulin signaling pathway
path:ko04911	Insulin secretion
path:ko04912	GnRH signaling pathway
path:ko04913	Ovarian steroidogenesis
path:ko04914	Progesterone-mediated oocyte maturation
path:ko04915	Estrogen signaling pathway
path:ko04916	Melanogenesis
path:ko04917	Prolactin signaling pathway
path:ko04918	Thyroid hormone synthesis
path:ko04919	Thyroid hormone signaling pathway
path:ko04920	Adipocytokine signaling pathway
path:ko04921	Oxytocin signaling pathway
path:ko04922	Glucagon signaling pathway
path:ko04923	Regulation of lipolysis in adipocytes
path:ko04924	Renin secretion
path:ko04925	Aldosterone synthesis and secretion
path:ko04926	Relaxin signaling pathway
path:ko04927	Cortisol synthesis and secretion
path:ko04928	Parathyroid hormone synthesis, secretion and action
path:ko04929	GnRH secretion
path:ko04930	Type II diabetes mellitus
path:ko04931	Insulin resistance
path:ko04932	Non-alcoholic fatty liver disease
path:ko04933	AGE-RAGE signaling pathway in diabetic complications
path:ko04934	Cushing syndrome
path:ko04935	Growth hormone synthesis, secretion and action
path:ko04940	Type I diabetes mellitus
path:ko04950	Maturity onset diabetes of the young
path:ko04960	Aldosterone-regulated sodium reabsorption
path:ko04961	Endocrine and other factor-regulated calcium reabsorption
path:ko04962	Vasopressin-regulated water reabsorption
path:ko04964	Proximal tubule bicarbonate reclamation
path:ko04966	Collecting duct acid secretion
path:ko04970	Salivary secretion
path:ko04971	Gastric acid secretion
path:ko04972	Pancreatic secretion
path:ko04973	Carbohydrate digestion and absorption
path:ko04974	Protein digestion and absorption
path:ko04975	Fat digestion and absorption
path:ko04976	Bile secretion
path:ko04977	Vitamin digestion and absorption
path:ko04978	Mineral absorption
path:ko04979	Cholesterol metabolism
path:ko05010	Alzheimer disease
path:ko05012	Parkinson disease
path:ko05014	Amyotrophic lateral sclerosis
path:ko05016	Huntington disease
path:ko05017	Spinocerebellar ataxia
path:ko05020	Prion disease
path:ko05022	Pathways of neurodegeneration - multiple diseases
path:ko05030	Cocaine addiction
path:ko05031	Amphetamine addiction
path:ko05032	Morphine addiction
path:ko05033	Nicotine addiction
path:ko05034	Alcoholism
path:ko05100	Bacterial invasion of epithelial cells
path:ko05110	Vibrio cholerae infection
path:ko05111	Biofilm formation - Vibrio cholerae
path:ko05120	Epithelial cell signaling in Helicobacter pylori infection
path:ko05130	Pathogenic Escherichia coli infection
path:ko05131	Shigellosis
path:ko05132	Salmonella infection
path:ko05133	Pertussis
path:ko05134	Legionellosis
path:ko05135	Yersinia infection
path:ko05140	Leishmaniasis
path:ko05142	Chagas disease
path:ko05143	African trypanosomiasis
path:ko05144	Malaria
path:ko05145	Toxoplasmosis
path:ko05146	Amoebiasis
path:ko05150	Staphylococcus aureus infection
path:ko05152	Tuberculosis
path:ko05160	Hepatitis C
path:ko05161	Hepatitis B
path:ko05162	Measles
path:ko05163	Human cytomegalovirus infection
path:ko05164	Influenza A
path:ko05165	Human papillomavirus infection
path:ko05166	Human T-cell leukemia virus 1 infection
path:ko05167	Kaposi sarcoma-associated herpesvirus infection
path:ko05168	Herpes simplex virus 1 infection
path:ko05169	Epstein-Barr virus infection
path:ko05170	Human immunodeficiency virus 1 infection
path:ko05171	Coronavirus disease - COVID-19
path:ko05200	Pathways in cancer
path:ko05202	Transcriptional misregulation in cancer
path:ko05203	Viral carcinogenesis
path:ko05204	Chemical carcinogenesis
path:ko05205	Proteoglycans in cancer
path:ko05206	MicroRNAs in cancer
path:ko05210	Colorectal cancer
path:ko05211	Renal cell carcinoma
path:ko05212	Pancreatic cancer
path:ko05213	Endometrial cancer
path:ko05214	Glioma
path:ko05215	Prostate cancer
path:ko05216	Thyroid cancer
path:ko05217	Basal cell carcinoma
path:ko05218	Melanoma
path:ko05219	Bladder cancer
path:ko05220	Chronic myeloid leukemia
path:ko05221	Acute myeloid leukemia
path:ko05222	Small cell lung cancer
path:ko05223	Non-small cell lung cancer
path:ko05224	Breast cancer
path:ko05225	Hepatocellular carcinoma
path:ko05226	Gastric cancer
path:ko05230	Central carbon metabolism in cancer
path:ko05231	Choline metabolism in cancer
path:ko05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
path:ko05310	Asthma
path:ko05320	Autoimmune thyroid disease
path:ko05321	Inflammatory bowel disease
path:ko05322	Systemic lupus erythematosus
path:ko05323	Rheumatoid arthritis
path:ko05330	Allograft rejection
path:ko05332	Graft-versus-host disease
path:ko05340	Primary immunodeficiency
path:ko05410	Hypertrophic cardiomyopathy
path:ko05412	Arrhythmogenic right ventricular cardiomyopathy
path:ko05414	Dilated cardiomyopathy
path:ko05415	Diabetic cardiomyopathy
path:ko05416	Viral myocarditis
path:ko05417	Lipid and atherosclerosis
path:ko05418	Fluid shear stress and atherosclerosis
